date,interest
2021-08-22,44
2021-08-29,43
2021-09-05,66
2021-09-12,0
2021-09-19,66
2021-09-26,0
2021-10-03,44
2021-10-10,71
2021-10-17,52
2021-10-24,48
2021-10-31,72
2021-11-07,66
2021-11-14,0
2021-11-21,57
2021-11-28,80
2021-12-05,41
2021-12-12,58
2021-12-19,47
2021-12-26,60
2022-01-02,75
2022-01-09,54
2022-01-16,57
2022-01-23,100
2022-01-30,44
2022-02-06,57
2022-02-13,52
2022-02-20,69
2022-02-27,54
2022-03-06,62
2022-03-13,56
2022-03-20,61
2022-03-27,57
2022-04-03,75
2022-04-10,81
2022-04-17,62
2022-04-24,60
2022-05-01,34
2022-05-08,39
2022-05-15,58
2022-05-22,55
2022-05-29,42
2022-06-05,51
2022-06-12,60
2022-06-19,65
2022-06-26,69
2022-07-03,30
2022-07-10,58
2022-07-17,65
2022-07-24,54
2022-07-31,80
2022-08-07,61
2022-08-14,51
2022-08-21,43
2022-08-28,48
2022-09-04,74
2022-09-11,56
2022-09-18,28
2022-09-25,52
2022-10-02,64
2022-10-09,32
2022-10-16,41
2022-10-23,53
2022-10-30,43
2022-11-06,60
2022-11-13,48
2022-11-20,40
2022-11-27,58
2022-12-04,54
2022-12-11,48
2022-12-18,30
2022-12-25,47
2023-01-01,44
2023-01-08,57
2023-01-15,50
2023-01-22,54
2023-01-29,75
2023-02-05,88
2023-02-12,40
2023-02-19,69
2023-02-26,70
2023-03-05,61
2023-03-12,70
2023-03-19,31
2023-03-26,37
2023-04-02,60
2023-04-09,50
2023-04-16,0
2023-04-23,0
2023-04-30,50
2023-05-07,53
2023-05-14,54
2023-05-21,43
2023-05-28,47
2023-06-04,57
2023-06-11,34
2023-06-18,42
2023-06-25,0
2023-07-02,55
2023-07-09,43
2023-07-16,66
2023-07-23,0
2023-07-30,48
2023-08-06,46
2023-08-13,38
2023-08-20,42
2023-08-27,55
2023-09-03,43
2023-09-10,50
2023-09-17,55
2023-09-24,38
2023-10-01,41
2023-10-08,0
2023-10-15,42
2023-10-22,60
2023-10-29,42
2023-11-05,32
2023-11-12,47
2023-11-19,55
2023-11-26,31
2023-12-03,48
2023-12-10,70
2023-12-17,48
2023-12-24,42
2023-12-31,0
2024-01-07,36
2024-01-14,54
2024-01-21,52
2024-01-28,47
2024-02-04,0
2024-02-11,38
2024-02-18,0
2024-02-25,0
2024-03-03,48
2024-03-10,39
2024-03-17,34
2024-03-24,40
2024-03-31,39
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,34
2024-05-05,0
2024-05-12,40
2024-05-19,40
2024-05-26,38
2024-06-02,38
2024-06-09,38
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,41
2024-07-21,0
2024-07-28,47
2024-08-04,40
2024-08-11,0
2024-08-18,0
2024-08-25,49
2024-09-01,44
2024-09-08,49
2024-09-15,36
2024-09-22,0
2024-09-29,0
2024-10-06,0
2024-10-13,0
2024-10-20,46
2024-10-27,50
2024-11-03,46
2024-11-10,48
2024-11-17,40
2024-11-24,61
2024-12-01,0
2024-12-08,67
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,85
2025-01-12,55
2025-01-19,45
2025-01-26,0
2025-02-02,0
2025-02-09,54
2025-02-16,62
2025-02-23,0
2025-03-02,0
2025-03-09,38
2025-03-16,69
2025-03-23,41
2025-03-30,0
2025-04-06,0
2025-04-13,0
2025-04-20,38
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,39
2025-05-25,0
2025-06-01,0
2025-06-08,42
2025-06-15,0
2025-06-22,0
2025-06-29,0
2025-07-06,43
2025-07-13,40
2025-07-20,0
2025-07-27,0
2025-08-03,48
2025-08-10,0
2025-08-17,47
2025-08-24,0
2025-08-31,35
2025-09-07,0
2025-09-14,0
2025-09-21,35
2025-09-28,40
2025-10-05,0
2025-10-12,0
2025-10-19,0
2025-10-26,0
2025-11-02,0
2025-11-09,0
2025-11-16,0
2025-11-23,38
2025-11-30,53
2025-12-07,49
2025-12-14,0
2025-12-21,0
2025-12-28,0
2026-01-04,36
2026-01-11,0
2026-01-18,64
2026-01-25,0
2026-02-01,0
2026-02-08,39
2026-02-15,0
2026-02-22,54
2026-03-01,0
2026-03-08,0
2026-03-15,0
2026-03-22,0
2026-03-29,0
2026-04-05,37
2026-04-12,40
2026-04-19,37
2026-04-26,0
2026-05-03,45
2026-05-10,38
2026-05-17,41
2026-05-24,60
2026-05-31,33
2026-06-07,0
2026-06-14,0
2026-06-21,0
2026-06-28,34
2026-07-05,0
2026-07-12,40
2026-07-19,0
2026-07-26,52
2026-08-02,0
2026-08-09,38
2026-08-16,35
2026-08-23,20
