date,interest
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,26
2021-10-03,0
2021-10-10,31
2021-10-17,0
2021-10-24,39
2021-10-31,0
2021-11-07,38
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,28
2022-01-09,0
2022-01-16,0
2022-01-23,38
2022-01-30,0
2022-02-06,0
2022-02-13,18
2022-02-20,23
2022-02-27,26
2022-03-06,29
2022-03-13,20
2022-03-20,23
2022-03-27,27
2022-04-03,33
2022-04-10,47
2022-04-17,39
2022-04-24,55
2022-05-01,25
2022-05-08,30
2022-05-15,27
2022-05-22,35
2022-05-29,25
2022-06-05,33
2022-06-12,37
2022-06-19,30
2022-06-26,37
2022-07-03,33
2022-07-10,40
2022-07-17,28
2022-07-24,31
2022-07-31,18
2022-08-07,45
2022-08-14,33
2022-08-21,29
2022-08-28,20
2022-09-04,40
2022-09-11,30
2022-09-18,34
2022-09-25,42
2022-10-02,26
2022-10-09,24
2022-10-16,25
2022-10-23,43
2022-10-30,27
2022-11-06,22
2022-11-13,21
2022-11-20,42
2022-11-27,21
2022-12-04,27
2022-12-11,36
2022-12-18,33
2022-12-25,31
2023-01-01,19
2023-01-08,29
2023-01-15,29
2023-01-22,37
2023-01-29,39
2023-02-05,17
2023-02-12,0
2023-02-19,35
2023-02-26,40
2023-03-05,40
2023-03-12,36
2023-03-19,36
2023-03-26,48
2023-04-02,49
2023-04-09,49
2023-04-16,65
2023-04-23,48
2023-04-30,41
2023-05-07,48
2023-05-14,31
2023-05-21,30
2023-05-28,43
2023-06-04,30
2023-06-11,30
2023-06-18,33
2023-06-25,28
2023-07-02,29
2023-07-09,78
2023-07-16,54
2023-07-23,41
2023-07-30,44
2023-08-06,38
2023-08-13,35
2023-08-20,30
2023-08-27,32
2023-09-03,32
2023-09-10,35
2023-09-17,36
2023-09-24,38
2023-10-01,38
2023-10-08,44
2023-10-15,31
2023-10-22,29
2023-10-29,43
2023-11-05,34
2023-11-12,38
2023-11-19,29
2023-11-26,36
2023-12-03,32
2023-12-10,54
2023-12-17,34
2023-12-24,35
2023-12-31,51
2024-01-07,30
2024-01-14,44
2024-01-21,48
2024-01-28,50
2024-02-04,67
2024-02-11,52
2024-02-18,37
2024-02-25,44
2024-03-03,43
2024-03-10,44
2024-03-17,56
2024-03-24,71
2024-03-31,73
2024-04-07,57
2024-04-14,35
2024-04-21,56
2024-04-28,31
2024-05-05,51
2024-05-12,48
2024-05-19,40
2024-05-26,47
2024-06-02,51
2024-06-09,44
2024-06-16,76
2024-06-23,52
2024-06-30,43
2024-07-07,40
2024-07-14,40
2024-07-21,52
2024-07-28,47
2024-08-04,32
2024-08-11,0
2024-08-18,43
2024-08-25,60
2024-09-01,54
2024-09-08,61
2024-09-15,64
2024-09-22,44
2024-09-29,47
2024-10-06,28
2024-10-13,26
2024-10-20,50
2024-10-27,62
2024-11-03,50
2024-11-10,58
2024-11-17,45
2024-11-24,46
2024-12-01,46
2024-12-08,71
2024-12-15,59
2024-12-22,69
2024-12-29,81
2025-01-05,72
2025-01-12,27
2025-01-19,51
2025-01-26,55
2025-02-02,51
2025-02-09,69
2025-02-16,53
2025-02-23,55
2025-03-02,47
2025-03-09,57
2025-03-16,100
2025-03-23,92
2025-03-30,68
2025-04-06,55
2025-04-13,73
2025-04-20,56
2025-04-27,38
2025-05-04,51
2025-05-11,57
2025-05-18,58
2025-05-25,56
2025-06-01,66
2025-06-08,67
2025-06-15,42
2025-06-22,72
2025-06-29,79
2025-07-06,54
2025-07-13,83
2025-07-20,63
2025-07-27,50
2025-08-03,54
2025-08-10,58
2025-08-17,70
2025-08-24,63
2025-08-31,55
2025-09-07,64
2025-09-14,49
2025-09-21,66
2025-09-28,63
2025-10-05,30
2025-10-12,57
2025-10-19,58
2025-10-26,47
2025-11-02,30
2025-11-09,70
2025-11-16,55
2025-11-23,57
2025-11-30,71
2025-12-07,46
2025-12-14,63
2025-12-21,71
2025-12-28,52
2026-01-04,77
2026-01-11,50
2026-01-18,54
2026-01-25,36
2026-02-01,58
2026-02-08,48
2026-02-15,59
2026-02-22,70
2026-03-01,94
2026-03-08,66
2026-03-15,82
2026-03-22,53
2026-03-29,51
2026-04-05,62
2026-04-12,45
2026-04-19,39
2026-04-26,64
2026-05-03,64
2026-05-10,37
2026-05-17,64
2026-05-24,54
2026-05-31,55
2026-06-07,49
2026-06-14,51
2026-06-21,72
2026-06-28,56
2026-07-05,63
2026-07-12,62
2026-07-19,62
2026-07-26,54
2026-08-02,42
2026-08-09,52
2026-08-16,54
2026-08-23,58
